movie_id;genre_id
2503;28
2503;18
2503;9648
2503;53
218;28
218;53
218;878
155;18
155;28
155;80
155;53
422;14
422;18
630;12
630;10751
630;14
3175;18
3175;10749
3175;10752
137;10749
137;14
137;18
137;35
406;18
63;878
63;53
63;9648
578;27
578;53
578;12
10775;18
10775;28
10775;53
10775;80
10775;9648
887;18
887;36
887;10749
117691;28
117691;53
117691;80
389;18
50014;18
10020;10749
10020;10751
10020;16
10020;14
10020;10402
968;80
968;18
968;53
17295;18
17295;10752
17295;36
843;18
843;10749
22;12
22;14
22;28
10242;18
10242;53
655;18
352173;80
352173;18
352173;9648
352173;53
297222;35
297222;18
297222;878
424;18
424;36
424;10752
680;53
680;80
122;12
122;14
122;28
429;37
550;18
120;12
120;14
120;28
13;35
13;18
13;10749
1891;12
1891;28
1891;878
27205;28
27205;53
27205;878
27205;9648
27205;12
121;12
121;14
121;28
510;18
769;18
769;80
603;28
603;878
346;28
346;18
11;12
11;28
11;878
598;18
598;80
807;80
807;9648
807;53
274;80
274;18
274;53
1585;18
1585;10751
1585;14
637;35
637;18
629;18
629;80
629;53
101;53
101;80
101;18
857;18
857;36
857;10752
129;14
129;12
129;16
129;10751
335;37
73;18
157336;12
157336;18
157336;878
539;18
539;27
539;53
289;18
289;10749
901;35
901;18
901;10749
497;14
497;18
497;80
77338;18
77338;35
3082;18
3082;35
85;12
85;28
567;9648
567;53
423;18
423;10752
1422;18
1422;53
1422;80
280;28
280;53
280;878
105;12
105;35
105;878
105;10751
244786;10402
244786;18
98;28
98;18
98;12
77;9648
77;53
1124;18
1124;9648
1124;53
8587;10751
8587;16
8587;18
28;18
28;10752
348;27
348;28
348;53
348;878
599;18
935;18
935;35
935;10752
914;35
11216;18
11216;10749
582;18
582;53
12477;16
12477;18
12477;10752
975;18
975;10752
68718;18
68718;37
694;27
694;53
10681;16
10681;10751
14;18
49026;28
49026;80
49026;18
49026;53
128;12
128;14
128;16
679;27
679;28
679;53
679;878
670;18
670;53
670;9648
670;28
311;18
311;80
37257;18
37257;9648
37257;80
387;28
387;18
387;36
387;10752
387;12
15;9648
15;18
360814;18
213;9648
213;53
426;9648
426;10749
426;53
1892;12
1892;28
1892;878
500;80
500;53
197;28
197;18
197;36
197;10752
832;18
832;28
832;53
832;80
641;18
194;35
194;10749
7508;18
185;878
185;18
947;12
947;18
947;36
947;10752
103;80
103;18
996;18
996;9648
996;53
38;878
38;18
38;10749
279;18
279;36
279;10402
595;80
595;18
10193;16
10193;10751
10193;35
600;18
600;10752
62;878
62;9648
62;12
872;35
872;10402
872;10749
372058;16
372058;18
372058;14
372058;10749
9277;35
9277;80
9277;18
862;16
862;35
862;10751
5156;18
10098;35
10098;18
16869;18
16869;28
16869;53
16869;10752
20453;18
20453;35
20453;10749
107;53
107;80
762;12
762;35
762;14
2118;80
2118;18
2118;9648
2118;53
938;37
103663;18
489;18
111;28
111;80
111;18
111;53
13393;35
13393;18
284;35
284;18
284;10749
548;80
548;18
548;9648
60243;18
19;18
19;878
89;12
89;28
705;18
11878;18
11878;53
272;28
272;80
272;18
14160;16
14160;35
14160;10751
14160;12
239;35
239;10749
3090;28
3090;12
3090;18
3090;37
33;37
613;18
613;36
613;10752
1578;18
562;28
562;53
1092;53
1092;9648
21334;18
21334;35
21334;10751
949;28
949;80
949;18
949;53
5925;12
5925;18
5925;36
5925;53
5925;10752
829;80
829;18
829;9648
829;53
3782;18
1417;14
1417;18
1417;10752
