movie_id;genre_id
339403;28
339403;80
8392;14
8392;16
8392;10751
150540;18
150540;35
150540;16
150540;10751
11645;28
11645;18
11645;36
962;12
962;35
962;18
654;80
654;18
25376;80
25376;18
25376;9648
25376;10749
264644;18
264644;53
826;18
826;36
826;10752
78;878
78;18
78;53
4935;14
4935;16
4935;12
313369;35
313369;18
313369;10402
313369;10749
46738;18
46738;10752
46738;9648
821;18
821;36
490;14
490;18
100;35
100;80
3083;35
3083;18
524;18
524;80
453;18
453;10749
263115;28
263115;18
263115;878
1955;18
1955;36
895;18
895;36
614;18
752;28
752;53
752;14
961;28
961;12
961;35
961;18
106646;80
106646;18
106646;35
59440;28
59440;18
26900;80
26900;18
26900;53
627;18
627;80
631;18
631;10749
521;80
521;9648
521;53
13223;18
11778;18
11778;10752
770;18
770;10749
770;10752
324786;18
324786;36
324786;10752
275;80
275;18
275;53
115;35
115;80
745;9648
745;53
745;18
1091;27
1091;9648
1091;878
12;16
12;10751
18148;18
6977;80
6977;18
6977;53
7913;18
780;18
780;36
903;80
903;18
223;18
223;9648
19703;28
19703;18
7345;18
10191;14
10191;12
10191;16
10191;10751
24;28
24;80
25237;18
25237;36
25237;10752
24238;16
24238;35
24238;18
210577;9648
210577;53
210577;18
5915;12
5915;18
3078;35
3078;10749
11324;18
11324;53
11324;9648
583;35
792;18
792;10752
792;28
265195;18
265195;53
265195;35
205;18
205;36
205;10752
96721;18
96721;28
204;18
204;53
204;12
10774;18
7984;18
235;80
235;18
147;18
665;28
665;12
665;18
665;36
120467;35
120467;18
314365;18
314365;53
314365;36
76341;28
76341;12
76341;878
76341;53
76203;18
76203;36
797;18
278;18
278;80
70;18
642;36
642;18
642;37
642;80
329;12
329;878
11423;80
11423;18
11423;53
55;18
55;53
963;9648
963;80
963;53
19625;35
1398;18
1398;878
1398;53
37165;35
37165;18
19426;18
2493;12
2493;10751
2493;14
2493;35
2493;10749
28178;18
28178;10751
238;18
238;80
81;12
81;16
81;14
76;18
76;10749
140607;28
140607;12
140607;878
140607;14
12259;28
596;18
12445;12
12445;14
1366;18
146233;18
146233;53
146233;80
240;18
240;80
1480;18
1480;53
1480;80
783;18
783;36
827;18
827;27
827;53
703;35
703;18
703;10749
640;18
640;80
141;14
141;18
141;9648
585;16
585;35
585;10751
21614;35
